q1_eps_fc,q2_eps_fc,q3_eps_fc,q4_eps_fc,q1_eps_act,q2_eps_act,q3_eps_act,q4_eps_act,q1_eod_act,q2_eod_act,q3_eod_act,q4_eod_act,q1_eps_fc_terms,q2_eps_fc_terms,q3_eps_fc_terms,q4_eps_fc_terms
0.49049999999999994,0.4892,0.5268,0.6174666666666667,0.5057142852619047,0.2876190472761905,0.191000000595,0.4166666674619047,34.058319999999995,32.998630000000006,31.991835000000002,32.538085,0.5425,0.5378571428571429,0.558,0.6276666666666667
-0.18742857142857147,0.8120714285714287,0.6668666666666667,0.06433333333333345,-0.8695238095238095,0.09238095238095241,0.07191214285714283,-0.8718654999999998,42.73500000000001,38.682500000000005,37.785000000000004,42.01,0.048769230769230745,1.2614285714285713,1.1596428571428572,0.3219285714285714
1.2709473684210526,1.2134999999999998,1.0828333333333333,0.6507368421052631,1.1940740740855555,1.0756140350894736,1.0072222226277778,0.6699999999999999,77.747,76.72422222222222,78.78033333333332,74.17477777777779,1.4532352941176467,1.2627777777777778,1.1775555555555555,0.7759999999999999
1.1604761904761907,0.8200476190476192,0.7013809523809523,0.8106666666666668,1.259245528890857,0.8902551020282379,0.750119047587381,0.8783843537426191,53.32117142857142,54.858752380952374,60.959585714285716,51.25622,1.2311,0.91295,0.75025,0.8401500000000001
1.2074285714285715,1.3405714285714285,1.3615714285714284,1.368857142857143,0.9637500000000001,0.8675,0.96875,0.24950542857142852,64.03428571428572,66.39428571428572,68.44714285714285,66.16714285714285,1.225,1.2931428571428571,1.3594285714285714,1.3988571428571428
0.7517857142857142,0.9721428571428572,0.7882666666666666,0.7911333333333332,0.5969047619047618,0.47904761904761917,0.4870238095238096,0.34073261957095236,40.275200000000005,41.30673809523809,40.9755619047619,40.1848,0.7747857142857143,0.9748571428571429,0.856,0.7942
-0.019105263157894764,-0.025368421052631554,0.014157894736842125,0.04878947368421053,0.020238095465238064,-0.013571429045238089,0.015714285858095242,0.1918363000107,51.450476190476195,57.83280952380952,59.47395238095238,48.511250000000004,-0.014611111111111111,-0.019555555555555562,0.021055555555555567,0.04878947368421053
0.5656190476190476,0.6566666666666666,0.6782380952380952,0.8183809523809524,0.5056757619047619,0.5376190476190478,0.4742857142857143,0.5239999999999998,31.399128571428566,31.99035714285714,32.79411904761905,31.080155,0.6517499999999999,0.72335,0.7072500000000003,0.8400500000000001
0.8388333333333334,0.7671111111111112,0.8744736842105264,0.788684210526316,0.9017711666666668,0.8721652222222223,0.9333333333333331,0.8752675555555556,66.55666666666667,68.14999999999999,67.75368421052632,62.768333333333345,0.8416111111111112,0.7667222222222222,0.9054444444444444,0.8266111111111113
0.44985714285714284,0.482,0.5056666666666667,0.5683809523809524,0.3623214279904761,0.38023809538095243,0.4030952385947619,0.38201865028349996,60.352233333333345,64.35688095238095,66.30595238095238,56.57059,0.48725000000000007,0.49495000000000006,0.5275500000000001,0.5919000000000001
0.5854285714285715,0.6128666666666668,0.6781333333333333,0.7187333333333333,0.4723809525514286,0.4640476190476191,0.4852380952380953,0.4904761904761905,71.45285714285714,68.026875,68.36874999999999,64.47285714285714,0.6369285714285714,0.636,0.6905000000000001,0.7210666666666669
0.4362500000000001,0.49123809523809525,0.4869523809523809,0.5180999999999999,0.4983832740755,0.5339469149761905,0.47773880223238097,0.5513681027920001,30.001514285714286,29.331271428571426,29.072795238095242,29.883005000000004,0.5357500000000001,0.5755499999999999,0.5583,0.6048500000000001
0.5040952380952382,0.5842857142857143,0.8275238095238096,0.5245714285714287,0.5404761904761904,0.6552380952380952,0.8499999999999999,0.5390476146761904,76.27848181818182,78.67640909090909,80.95559999999999,72.7402090909091,0.52405,0.6005,0.8552,0.5344500000000001
1.9137777777777778,1.7757368421052633,2.1959473684210526,2.159315789473684,1.4110526311578946,1.3084210519305262,1.4605263163526316,1.3623529413661175,120.67833333333334,118.38684210526317,116.50526315789473,120.7472222222222,2.099277777777778,2.0413888888888887,2.3869444444444445,2.457333333333333
0.1837619047619047,0.20347619047619045,0.20057142857142857,0.22361904761904766,0.06273809523809526,0.045833333333333316,0.07857142857142854,0.08404761904761904,43.30940476190477,43.69011904761905,46.164647619047614,42.13797,0.18645,0.20665,0.20554999999999998,0.22805000000000003
0.44157142857142845,0.6807619047619047,1.4115238095238094,0.25875,0.34809523752857147,0.716666665647619,1.3190476217619047,-0.06600000049549999,42.49261904761905,43.34214285714285,44.2122619047619,43.685125000000006,0.42705882352941177,0.7015555555555556,1.43715,0.2768421052631579
0.8111904761904762,0.6758095238095237,1.0521904761904761,0.4868571428571429,0.8614285724523811,0.6147619035142857,0.9847619047619046,0.14630515143000006,45.30428571428571,45.747976190476194,46.035714285714285,45.28025,0.8270555555555555,0.7193500000000002,1.096,0.5330999999999999
0.24390476190476199,0.222,0.27779999999999994,0.25623809523809526,0.16608666666666666,0.1833333332190477,0.027740857428571446,-0.43415679999999995,15.988095238095237,16.96845238095238,16.079047619047618,16.276,0.316923076923077,0.29271428571428565,0.30511111111111117,0.3317
0.5470952380952381,0.5511904761904762,0.5548095238095238,0.5302380952380952,0.5551190476190475,0.5175,0.5527380952380954,0.56324545,24.957142857142852,25.64015238095238,26.112114285714288,25.66569,0.5672499999999999,0.57295,0.57775,0.5606500000000001
1.8203999999999998,2.037866666666667,1.9676666666666667,2.2597333333333336,-0.5280952418285714,-0.46380952562857136,1.7957142832714286,-0.46399999952499993,93.49823809523811,96.83680952380952,97.76038095238094,91.02405,2.0043571428571427,2.146785714285714,2.0467999999999997,2.2743333333333333
