1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0.282499999675,0.4175000021,0.09750000119999999,-0.5575,-1.085,0.1925,0.15,1.7825000000000002,0.4075,0.47750000000000004,-0.024999999999999994,0.44999999999999996,0.73,0.8274999999999999,0.535,0.38,0.3,0.35250000000000004,0.5325,0.25,0.8474999999999999
1.625,1.3575,-2.855,-4.0525,-1.9625,-1.1800000000000002,-1.26,0.275,0.5125,-2.0808932500000004,-1.2575,-0.35250000000000004,-1.47716425,-1.39873125,-1.1775,1.0025,2.9025000000000003,1.2000000000000002,0.6425000000000001,0.76,0.9533333333333333
,,0.0375000018675,0.1788888889,0.2833333333425,0.38333333332499997,0.48333333335,0.6166666666666667,0.5725,0.625,0.7125,1.0,1.3,1.325,1.3399999999999999,1.6875,1.6125,1.5575,1.6099999999999999,1.4375000000000002,1.83
0.0375892854825,0.043360455357499994,-0.0017857143024999989,0.00321428584225,0.0033928570867499995,0.01321428556375,0.058750000000000004,0.08392857142749999,0.144642857175,0.245357142875,0.32964285717499997,0.550357142875,1.0014285715,1.595,1.4253571427499998,1.6185714285,2.3125,2.08,2.3125,2.9924999999999997,2.9850000000000003
,,,,,,,,,,,,,0.8366345,0.645,0.27749999999999997,0.79,0.91,0.83,0.8950000000000001,1.1366666666666665
0.0843750003725,0.12,0.135,0.2049999991,0.251250003275,0.261875,0.14,0.285,0.31625000000000003,0.19374999999999998,0.41874999999999996,0.565,0.645,0.71,0.47,0.3,-0.13750000000000007,1.695,0.4182212499999999,1.9,1.0175
-0.09749999938500001,-0.14875000089749998,-0.2312500004525,-0.272500002675,-0.23999999463333332,-0.11048375119500001,-0.027499999906499994,-0.2975,-0.25783475,-0.3175,-0.225,-0.13,-0.08,0.012500000000000004,0.0975,0.0475,0.69,0.225,0.3025,0.635,1.4425
0.39749999999999996,0.45,0.25,0.4475,0.44000000000000006,0.52,0.5425,0.2825,0.5800000000000001,0.7875,0.9225,0.7475,0.7525,0.9397977500000001,0.41000000000000003,0.375,0.7350000000000001,0.2325,0.065,0.3375,0.49666666666666665
,,,0.1475,0.265,0.315,0.39807375,0.4122435,0.51433475,0.68426575,0.6375000000000001,0.6975,0.8825000000000001,0.9950000000000001,1.27,1.1600000000000001,1.2175,1.6475,1.3900000000000001,1.615,1.8725
0.12281249992500001,0.1506250054,0.10874999871749999,0.1012499997725,0.14249999955,0.236249998375,0.3075,0.214515,0.31,0.40307824999999997,0.185,0.3725,0.4175,0.42,0.14250000000000002,0.1275,0.3175,0.5875,0.86,1.32,1.4366666666666665
