q1_eod_act,q2_eod_act,q3_eod_act,q4_eod_act
34.058319999999995,32.998630000000006,31.991835000000002,32.538085
42.73500000000001,38.682500000000005,37.785000000000004,42.01
77.747,76.72422222222222,78.78033333333332,74.17477777777779
53.32117142857142,54.858752380952374,60.959585714285716,51.25622
64.03428571428572,66.39428571428572,68.44714285714285,66.16714285714285
40.275200000000005,41.30673809523809,40.9755619047619,40.1848
51.450476190476195,57.83280952380952,59.47395238095238,48.511250000000004
31.399128571428566,31.99035714285714,32.79411904761905,31.080155
66.55666666666667,68.14999999999999,67.75368421052632,62.768333333333345
60.352233333333345,64.35688095238095,66.30595238095238,56.57059
71.45285714285714,68.026875,68.36874999999999,64.47285714285714
30.001514285714286,29.331271428571426,29.072795238095242,29.883005000000004
76.27848181818182,78.67640909090909,80.95559999999999,72.7402090909091
120.67833333333334,118.38684210526317,116.50526315789473,120.7472222222222
43.30940476190477,43.69011904761905,46.164647619047614,42.13797
42.49261904761905,43.34214285714285,44.2122619047619,43.685125000000006
45.30428571428571,45.747976190476194,46.035714285714285,45.28025
15.988095238095237,16.96845238095238,16.079047619047618,16.276
24.957142857142852,25.64015238095238,26.112114285714288,25.66569
93.49823809523811,96.83680952380952,97.76038095238094,91.02405
535.1220476190475,530.1452857142858,512.1124666666666,559.0653249999998
31.66853809523809,32.17444761904761,32.54857619047619,31.232414999999996
55.51749999999999,59.31187499999999,61.92375,57.89533333333334
35.48047619047619,36.22690476190476,37.73690476190476,36.548
42.98205000000001,42.01397,38.07528,50.20087499999999
43.11422857142857,44.36154761904762,44.1003,43.875440000000005
53.53868421052631,61.93421052631579,62.19205263157895,48.660888888888884
26.68907619047619,25.312561904761907,26.078185714285713,26.982315
50.68214285714286,51.65166666666668,52.50178571428571,50.750125000000004
71.45833333333333,75.88000000000001,75.81666666666666,64.80666666666666
56.80470476190477,57.06089523809524,60.49619047619048,58.70540999999999
22.908661904761907,22.60815714285714,21.486819047619043,20.761285
,11.49,9.75,
11.13,13.075999999999999,16.252000000000002,10.7375
28.193323809523815,29.108109523809524,29.526952380952384,27.613540000000008
100.55063333333335,98.2257904761905,97.84261904761905,101.62474499999999
88.281,88.24419047619047,95.17752380952382,90.93255000000002
82.3142857142857,81.94571428571429,82.02333333333333,80.07928571428572
59.45214285714285,61.88133333333334,63.058142857142855,58.06239999999999
319.2378095238095,351.09695238095236,375.15885714285713,299.6979
167.132,145.90166666666667,154.83166666666665,136.33
52.57881428571428,55.7592,58.32387142857143,51.001999999999995
97.20805555555556,101.25972222222222,99.4561111111111,92.82055555555556
61.79223809523809,63.67966666666668,65.11157142857144,59.484500000000004
17.340642857142853,17.7382,17.89617142857143,16.765195
60.37497142857143,62.39162857142859,60.29358571428572,61.096545000000006
82.73460476190476,85.30082380952382,85.90275714285714,82.59965
30.10571428571429,30.85757619047619,31.992261904761904,29.49631
60.2495375,61.370999999999995,62.929862500000006,54.496199999999995
74.38940476190476,75.43535714285714,77.79904761904761,75.17249999999999
22.83,21.826666666666664,24.296666666666667,20.883333333333333
40.36035714285715,41.964285714285715,42.33190476190477,39.843624999999996
16.68342857142857,18.194661904761904,19.772557142857142,16.24298
104.82276190476189,107.26223809523808,109.52119047619047,105.21015000000003
122.776,125.62899999999999,118.20045454545453,109.386
58.850595238095245,58.88428571428571,57.45690476190477,57.62449999999999
52.474545454545456,52.3975,53.7075,49.77272727272727
55.16710952380952,57.91572857142858,58.33277619047618,57.158224999999995
310.7945238095238,310.9126190476191,319.91719047619046,306.74965
103.46823809523809,106.22909523809524,111.11023809523812,100.73515
26.78220476190476,26.58696666666667,27.11672857142857,26.424315
33.08911904761904,33.92860952380953,34.868295238095236,31.965864999999997
35.75523809523809,35.82535714285715,36.6452380952381,36.123375
37.57058095238095,38.255661904761915,38.56782857142857,35.74483500000001
93.54933333333334,95.4227619047619,96.42814285714287,91.51575
30.795433333333328,30.612857142857138,30.472704761904758,31.156709999999997
21.507266666666666,22.18352380952381,22.660009523809528,21.440515
121.25785714285716,123.96642857142858,129.92009523809526,127.08675000000001
37.63726666666666,37.14149999999999,36.33239999999999,38.073935000000006
608.604619047619,616.4667142857143,618.6600000000001,542.16575
46.093452380952385,49.487619047619056,45.8654761904762,45.87225
208.25300000000001,205.29149999999998,209.0985,199.5669
18.76158095238095,19.348328571428574,20.06759523809524,18.244435000000003
40.635804761904765,40.59046190476191,40.37262857142858,41.556709999999995
44.73230769230769,47.916153846153854,50.34615384615385,43.12083333333334
92.5604761904762,92.10190476190476,95.57857142857144,93.33250000000001
17.756314285714286,18.85464761904762,18.242504761904762,16.878065000000003
26.124338095238098,26.10157619047619,24.988661904761905,25.595255
84.73657142857144,85.21809523809524,86.71314285714286,83.93524999999998
220.08435238095245,221.64870476190487,217.116619047619,227.25497000000004
22.431504761904762,22.657114285714286,22.402033333333332,22.60943
49.708866666666665,48.84581904761905,47.754914285714285,48.702245
68.92893333333333,69.23488095238096,69.16410952380953,69.06438
70.09061904761904,71.30857142857143,72.25371428571428,72.3378
62.696666666666665,60.35799999999999,62.315999999999995,61.635555555555555
27.506220000000003,26.27166875,24.977500000000003,24.60066666666667
36.723535,37.508942857142856,34.526133333333334,36.140635
51.93444444444444,52.64052631578947,53.79842105263158,50.295
41.33976190476191,40.32333333333332,40.84880952380953,42.76325
20.417857142857144,21.856428571428573,22.198214285714283,18.427142857142858
55.095000000000006,54.16857142857143,59.80428571428571,50.53333333333333
50.28066666666667,54.50333333333333,53.812,51.44357142857143
41.88371428571429,42.43219047619048,46.38880952380952,42.624750000000006
