q1,q2,q3,q4
0.5425,0.5378571428571429,0.558,0.6276666666666667
0.048769230769230745,1.2614285714285713,1.1596428571428572,0.3219285714285714
1.4532352941176467,1.2627777777777778,1.1775555555555555,0.7759999999999999
1.2311,0.91295,0.75025,0.8401500000000001
1.225,1.2931428571428571,1.3594285714285714,1.3988571428571428
0.7747857142857143,0.9748571428571429,0.856,0.7942
-0.014611111111111111,-0.019555555555555562,0.021055555555555567,0.04878947368421053
0.6517499999999999,0.72335,0.7072500000000003,0.8400500000000001
0.8416111111111112,0.7667222222222222,0.9054444444444444,0.8266111111111113
0.48725000000000007,0.49495000000000006,0.5275500000000001,0.5919000000000001
0.6369285714285714,0.636,0.6905000000000001,0.7210666666666669
0.5357500000000001,0.5755499999999999,0.5583,0.6048500000000001
0.52405,0.6005,0.8552,0.5344500000000001
2.099277777777778,2.0413888888888887,2.3869444444444445,2.457333333333333
0.18645,0.20665,0.20554999999999998,0.22805000000000003
0.42705882352941177,0.7015555555555556,1.43715,0.2768421052631579
0.8270555555555555,0.7193500000000002,1.096,0.5330999999999999
0.316923076923077,0.29271428571428565,0.30511111111111117,0.3317
0.5672499999999999,0.57295,0.57775,0.5606500000000001
2.0043571428571427,2.146785714285714,2.0467999999999997,2.2743333333333333
8.32492857142857,7.60092857142857,7.134,8.443533333333333
-0.10084615384615386,-0.14650000000000005,-0.07571428571428572,-0.07992857142857142
1.496214285714286,1.4600666666666662,1.2345,1.4380625000000002
0.4051052631578947,0.5901,0.6128,0.49485
0.4925,0.4984999999999999,0.5167142857142857,0.5663571428571429
0.743,0.7355999999999999,0.7503,0.7866500000000001
0.27458823529411763,0.32129411764705884,0.281,0.3353684210526316
0.39223076923076927,1.1154615384615385,1.3732142857142857,0.6445
1.361894736842105,1.1864,1.1417,1.419
0.7294,0.9618333333333333,0.9991666666666669,0.9716666666666667
0.7824999999999999,0.7257142857142858,0.7717857142857143,0.7910714285714286
0.29505,0.27945000000000003,0.3105,0.3297
,,,
-0.02592857142857142,-0.03035714285714286,0.03585714285714286,0.06760000000000001
0.36189473684210527,0.3832105263157894,0.3736,0.3884
1.798315789473684,1.8428947368421054,1.8596499999999998,2.44525
1.3945500000000002,1.4797500000000001,1.5219999999999998,1.4734000000000003
1.7572142857142856,1.8132857142857144,1.8804285714285716,1.9689999999999999
0.611375,0.628125,0.631625,0.6623749999999999
1.7059230769230769,1.7669285714285716,1.6155714285714287,2.6316428571428574
0.9156000000000001,1.0942,1.26,1.1671666666666667
0.49794736842105264,0.5089500000000001,0.5218999999999999,0.6165499999999999
2.2146470588235294,2.0017777777777774,1.9344444444444444,1.4218888888888885
1.0337999999999998,0.93395,0.8323500000000001,1.2560999999999998
0.2491875,0.2404,0.22840000000000002,0.24365
1.4288,1.2186000000000001,1.24065,1.4306499999999998
1.16625,1.1552000000000002,1.2318500000000001,1.2840500000000001
0.33704999999999996,0.3746315789473684,0.37905,0.3977
1.39,1.3890000000000002,1.26925,1.4002500000000002
0.6554999999999999,0.6956470588235296,0.7207000000000001,0.715
0.372,0.361,0.36399999999999993,0.342
0.8720000000000001,1.312,0.2023,0.04975
0.1615,0.18357142857142855,0.20100000000000004,0.6474
0.7704166666666667,0.7741538461538462,0.837,0.8250714285714287
1.9485,1.9899,2.2169999999999996,2.4519
0.7639285714285714,0.93395,0.892,0.8906000000000001
0.37045454545454537,0.6279090909090909,0.8984545454545454,0.4770833333333333
0.9474499999999999,0.9943,0.9726000000000001,0.9734
5.450428571428572,4.7255714285714285,7.182857142857143,9.936928571428572
1.3813499999999999,1.4465500000000002,1.58905,1.69665
0.5901,0.61715,0.6038,0.6119000000000001
0.6720500000000001,0.74215,0.7614499999999998,0.79745
0.68815,0.7102499999999999,0.7172,0.7330500000000001
0.3142,0.36855,0.34815000000000007,1.36755
1.2019,1.27065,1.3827500000000001,1.3998000000000002
0.5283500000000001,0.51295,0.5242,0.54055
0.18685000000000002,0.2720526315789474,0.23921052631578946,0.16929999999999998
2.0005,1.985,2.092,2.15055
0.6426842105263159,0.6588,0.6713500000000001,0.6617
5.988307692307692,8.776142857142856,17.178428571428572,8.120066666666668
0.2345,0.2525,0.265,0.363
2.8665555555555553,2.72905,2.9076000000000004,3.1373999999999995
0.25616666666666665,0.3567894736842105,0.3688,0.2855
0.54405,0.53255,0.5380499999999999,0.48915
0.2643333333333333,0.28791666666666665,0.48441666666666666,1.1719285714285714
1.3842307692307694,1.5733333333333333,1.6780833333333334,1.4355333333333333
0.2152857142857143,0.2209285714285714,0.20935714285714283,0.2376666666666667
0.5222777777777777,0.5139,0.465,0.5273000000000001
0.5046153846153847,0.5137857142857143,0.5769285714285715,0.5451428571428572
4.900600000000001,4.55935,4.4878,4.610799999999999
0.3399,0.4862,0.42264999999999997,0.4146500000000001
0.7540999999999999,0.8272999999999999,0.9650999999999998,0.8331999999999999
1.1428,1.3151499999999998,1.2180000000000002,1.2787500000000003
2.1167857142857143,2.133,1.915533333333333,2.1142
0.6427777777777778,0.6705555555555556,0.6817777777777778,0.6622999999999999
0.22666666666666668,0.3770666666666667,0.4225333333333333,0.6928
0.6632307692307692,0.7364615384615385,0.7461428571428572,0.8525
0.1573571428571429,0.14971428571428572,0.156,0.15053333333333332
0.25934999999999997,0.3928,1.5627,0.39664999999999995
0.1795263157894737,0.21275,0.23040000000000002,0.28674999999999995
0.7296666666666667,0.9511666666666668,1.042,0.9575
1.2385,1.3925,1.226933333333333,1.1287333333333331
0.8861538461538461,0.8889285714285714,0.9449285714285713,0.9870714285714286
