2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0.60825,0.9015000000000001,0.7614999999999998,0.547,0.46025,0.635,0.856,1.20325,1.47525,1.40875,1.0895000000000001,1.14,1.1934999999999998,1.4625,1.8777500000000003,2.1870000000000003,2.27725,2.4139999999999997,3.25575,4.814
0.665,0.6419999999999999,0.68425,0.7735,0.8925000000000001,1.0139999999999998,1.025,1.2312500000000002,1.04375,0.353,0.195,0.31675,0.22949999999999998,0.24525000000000002,0.33375,0.362,0.38,0.42325,0.5842499999999999,0.72075
0.39849999999999997,0.4415,0.5062500000000001,0.5605,0.50175,0.475,0.5215000000000001,0.6164999999999999,0.787,0.9464999999999999,1.047,1.0715,1.1595,1.20275,1.29275,0.91975,0.382,0.51725,0.68625,0.83175
0.55175,0.60925,0.6844999999999999,0.7304999999999999,0.729,0.77825,0.81075,0.85225,0.80625,0.48225,0.38349999999999995,0.42200000000000004,0.6122500000000001,0.7375,0.7597500000000001,0.75,0.7560000000000001,0.7789999999999999,0.9375,1.071
0.17575,0.195,0.28325,0.28900000000000003,0.39675,0.4765,0.5485,0.67675,0.74925,0.64775,0.7475,0.84625,0.87975,0.64375,0.373,0.52725,0.595,0.72825,0.96275,1.2502499999999999
0.40125000000000005,0.43274999999999997,0.44275000000000003,0.5255000000000001,0.5952500000000001,0.6880000000000001,0.78725,0.92275,1.077,1.2165000000000001,1.25,1.3675,1.4979999999999998,1.4212500000000001,1.56775,1.7822500000000001,2.13025,2.3322499999999997,2.72325,3.114
0.17974999999999997,0.18475000000000003,0.157,0.156,0.22775,0.2975,0.391,0.534,0.62025,0.36024999999999996,0.49250000000000005,0.663,0.735,0.8254999999999999,0.9275,0.9352499999999999,0.7385,0.6705000000000001,0.7484999999999999,0.68575
0.08425,0.09075000000000001,0.074,0.09875,0.11299999999999999,0.12775,0.13725,0.16325,0.1875,0.195,0.18,0.22225,0.24625000000000002,0.25625,0.29550000000000004,0.3275,0.33975,0.34975000000000006,0.34199999999999997,0.41550000000000004
0.08299999999999999,0.10900000000000001,0.22,0.27325,0.35124999999999995,0.4035000000000001,0.5053333333333333,0.6623333333333333,0.8162499999999999,0.98475,1.14175,1.4257499999999999,1.5695000000000001,1.9247500000000002,2.82225,4.192749999999999,4.5225,5.265000000000001,6.02125,7.13775
0.50175,0.57575,0.5852499999999999,0.498,0.5065,0.54975,0.5723333333333332,0.60575,0.7352500000000001,0.6769999999999999,0.5874999999999999,0.621,0.5765,0.57775,0.60825,0.657,0.7719999999999999,0.86725,1.00275,1.07775
,,,,,0.27,0.43,0.6280000000000001,1.26325,1.5797500000000002,2.64325,4.651,7.75375,9.54925,12.879499999999998,14.930250000000001,17.315,19.262249999999998,21.88525,26.022750000000002
,,,,,,,,,,,,,,,,,,0.255,0.3025
0.31666666666666665,0.39275,0.49899999999999994,0.587,0.70575,0.8687499999999999,1.3099999999999998,1.8057500000000002,2.33575,1.8389999999999997,2.56625,3.03325,3.2837499999999995,3.84875,4.506,5.120499999999999,5.06775,5.440250000000001,6.689500000000001,6.960000000000001
0.0555,0.06225,0.07525,0.11324999999999999,0.165,0.17550000000000002,0.1935,0.20800000000000002,0.24475000000000002,0.2555,0.2785,0.3415,0.40075,0.42400000000000004,0.4525,0.49425,0.48075,0.5514999999999999,0.59325,0.6915
0.5802499999999999,0.635,0.5522499999999999,0.40449999999999997,0.38925,0.34775,0.31375,0.32225000000000004,0.4255,0.48875,0.5427500000000001,0.549,0.48874999999999996,0.46399999999999997,0.45725,0.42224999999999996,0.577,0.711,0.7925,1.05525
,,,,,1.09,,0.72,0.3145,0.34925,0.364,0.355,0.36,0.4355,0.5,0.61825,0.644,0.77275,0.90475,1.14125
,,,,,0.68,0.7859999999999999,0.9410000000000001,1.01975,0.8420000000000001,0.865,1.14275,1.27475,1.4235,1.6150000000000002,1.8385,1.9352500000000001,2.003,2.16075,2.6295
,,,,,0.495,0.4105,0.1665,0.1505,0.156,0.12275,0.09525,0.12,0.10800000000000001,0.15525,0.225,0.265,0.31325000000000003,0.34375,0.39525
0.18174999999999997,0.154,0.14225,0.19824999999999998,0.20975000000000002,0.2796666666666667,0.2936666666666667,0.29474999999999996,0.36525,0.191,0.21099999999999997,0.49224999999999997,0.67475,0.6905000000000001,0.81475,0.9045,0.8377500000000001,0.8707499999999999,1.07025,1.14775
,,,,,,0.5599999999999999,0.7530000000000001,0.6657500000000001,0.51625,0.36374999999999996,0.38075,0.36724999999999997,0.39,0.45375,0.49874999999999997,0.5505,0.59075,0.675,0.74
5.96575,7.5592500000000005,8.161,8.18075,9.64425,10.6205,10.47275,11.3405,8.277249999999999,0.32325000000000004,0.20825,1.0465,1.05925,1.1655,1.28,1.3487500000000001,1.36225,1.31875,1.55425,1.904
0.40975,0.319,0.337,0.39125,0.42025,0.3295,0.31949999999999995,0.305,0.3685,0.34675,0.41150000000000003,0.448,0.42825,0.5145,0.523,0.51725,0.5217499999999999,0.43725,0.48124999999999996,0.48775
0.42125,0.51825,0.6535000000000001,0.7945,0.8945,0.79225,0.7975000000000001,0.831,0.93725,0.8407499999999999,0.488,0.6054999999999999,0.7707499999999999,0.8424999999999999,0.8755000000000001,1.0505,1.2075,1.28875,1.1502499999999998,1.1385
0.38825000000000004,0.3925,0.39925,0.29325,0.5677500000000001,0.9385,1.25925,1.454,1.5025,0.9249999999999999,0.7024999999999999,1.4427500000000002,2.361,2.177,1.53875,1.36575,0.9505,0.82575,2.18975,3.0995
,,,,,0.4665,1.57425,1.7235,1.881,1.9457499999999999,1.9015,1.86375,1.89175,1.9577499999999999,2.1425,2.33775,2.45825,2.5795,2.659,2.8362500000000006
,,,,,,,,,,0.38,0.3645,0.42175,0.47025000000000006,0.5622500000000001,0.6067499999999999,0.65025,0.74075,1.0335,1.1997499999999999
,,,,,0.16775,0.28500000000000003,0.46925,0.5255,0.20299999999999999,0.14075,0.27325,0.3115,0.36625,0.42800000000000005,0.47575,0.5780000000000001,0.60175,0.73875,0.882
,,,,,,0.44699999999999995,0.45324999999999993,0.5015000000000001,0.2975,0.23375,0.36524999999999996,0.5935,0.7440000000000001,0.8845000000000001,0.956,1.0059999999999998,1.09325,1.2965,1.4957500000000001
,,,,,-0.102,-0.06974999999999999,-0.08175,-0.066,-0.0285,0.04825,0.10899999999999999,0.19425,0.18325000000000002,0.25475,0.32725,0.31275,0.307,0.3025,0.41775
0.47,0.42675,0.392,0.466,0.49600000000000005,0.68175,0.7602500000000001,0.7435,0.8135,0.52275,0.5625,0.7000000000000001,0.5295,0.5157499999999999,0.43325,0.6244999999999999,0.821,0.9185,1.056,1.124
0.10300000000000001,0.20600000000000002,0.27025,0.1815,0.19375,0.18925,0.26566666666666666,0.30275,0.40399999999999997,-0.0625,0.031000000000000003,0.08299999999999999,0.15925000000000003,0.2235,0.2565,0.26075,0.2955,0.34275,0.37775,0.485
,,,,,,,,,,,,,,0.53075,0.67,0.83825,0.9475,1.1332499999999999,1.40075
,,,,,0.29000000000000004,0.63125,0.738,0.9095,0.6167499999999999,0.666,0.98525,1.2285000000000001,1.184,1.2695,1.3907499999999997,1.6345,1.84375,2.05625,2.7432499999999997
,,,,,,0.06633333333333333,0.1305,0.192,0.268,0.33375,0.42000000000000004,0.5824999999999999,0.7062499999999999,0.89375,1.1800000000000002,1.4375,1.7845,2.13725,2.6375
0.01075,0.025750000000000002,0.04025,0.052250000000000005,0.05125,0.0655,0.09000000000000001,0.10675,0.1345,0.15775000000000003,0.17925000000000002,0.2235,0.2835,0.35175,0.419,0.52025,0.5954999999999999,0.63675,0.6625000000000001,0.679
,,,,,,0.076,0.07225,0.47150000000000003,0.592,0.33399999999999996,0.6307499999999999,1.14975,1.26275,0.92675,1.089,0.8725,0.06925,0.16,0.54575
,,,,,,,,,,,,,,,0.418,0.46125000000000005,0.56275,0.78025,0.9560000000000001
0.048499999999999995,0.05366666666666667,0.06225,0.07225000000000001,0.08900000000000001,0.10849999999999999,0.132,0.15175,0.17500000000000002,0.20775,0.243,0.27749999999999997,0.30824999999999997,0.35200000000000004,0.399,0.4155,0.44275,0.486,0.5485,0.615
0.09966666666666668,0.12833333333333333,0.139,0.16100000000000003,0.18774999999999997,0.23175,0.33475,0.43525,0.5307499999999999,0.54575,0.57925,0.6785,0.74725,0.7729999999999999,0.7322500000000001,0.84,0.9397500000000001,0.925,1.0185,1.23625
,,,,,,,,,,0.42,0.25133333333333335,-0.11675,0.008250000000000035,0.426,0.475,0.04425000000000001,1.3762500000000002,1.20575,1.7675
,,,,,0.54,0.67025,0.8585,1.0845,1.033,1.0295,1.1680000000000001,1.415,1.5725000000000002,1.8122500000000001,2.118,2.3555,2.3485,2.96325,4.423
0.381,0.38925,0.39225000000000004,0.4630000000000001,0.597,0.7365000000000002,0.7436666666666666,0.724,0.71725,0.53575,0.4125,0.3745,0.372,0.48774999999999996,0.6925,0.6869999999999999,0.75225,0.7945,0.79675,0.8547500000000001
0.20800000000000002,0.23850000000000002,0.27275,0.30425,0.33299999999999996,0.3255,0.36424999999999996,0.41500000000000004,0.478,0.536,0.6087499999999999,0.6395,0.68525,0.72075,0.7645,0.76275,0.7242500000000001,0.74525,0.7847500000000001,0.7415
0.43050000000000005,0.3955,0.43525,0.5235000000000001,0.6184999999999999,0.6685,0.72875,0.7702499999999999,0.7845,0.8924999999999998,1.0162499999999999,1.0285,0.98075,1.0365,1.08775,1.096,1.14975,1.357,1.38475,1.5410000000000001
1.142,1.24375,1.2422499999999999,1.12,0.9722500000000001,1.1205,1.2205,1.24375,0.9777500000000001,0.15375,-0.02375000000000002,0.45200000000000007,0.5874999999999999,0.6715,0.744,0.773,0.75925,0.99675,1.5225,2.008
,,,,,0.078,0.06725,0.096,0.11475,0.12825,0.15175,0.19225,0.23775000000000002,0.29025,0.35974999999999996,0.411,0.45075,0.47250000000000003,0.58975,0.71225
,,,0.1695,0.21625,0.377,0.574,0.7187500000000001,0.93775,0.79525,0.763,0.84025,0.9135000000000001,0.82725,0.8909999999999999,0.9595,1.0675,1.2102499999999998,1.48225,1.77075
,,,,,,0.193,0.39375000000000004,0.6677499999999998,0.64725,1.0942500000000002,1.70125,2.185,2.68825,3.2765,4.36025,3.5090000000000003,2.1135,2.237,3.0902499999999997
0.355,0.164,0.11674999999999999,0.1265,0.181,0.52875,0.74425,0.646,1.12575,0.7405,0.6515,1.81,2.53825,2.35225,2.3472500000000003,2.61175,2.13125,2.09775,3.08275,3.7889999999999997
,,,,,,0.2925,0.21750000000000003,0.2975,0.32,0.3375,0.33925,0.402,0.41424999999999995,0.43200000000000005,0.46175,0.54825,0.5825,0.5747499999999999,0.6355000000000001
,,0.038000000000000006,0.053,0.061,0.08625000000000001,0.1225,0.09375,0.1095,0.12375,0.123,0.1285,0.16799999999999998,0.1755,0.241,0.32075,0.51025,0.5865,0.73525,1.0354999999999999
,,,,,0.2175,0.2555,0.27125,0.31725000000000003,0.31425,0.33449999999999996,0.28974999999999995,0.29574999999999996,0.30900000000000005,0.29000000000000004,0.26775,0.27949999999999997,0.31925,0.369,0.42074999999999996
0.555,0.725,0.881,1.1047500000000001,1.3005,1.6680000000000001,1.8352499999999998,1.9775,1.52175,0.3177499999999999,0.44925,1.25725,1.51025,1.674,1.7297500000000001,1.9042500000000002,1.9322500000000002,2.0285,2.333,2.7809999999999997
0.01625,0.04466666666666667,0.015,0.033,0.04475,0.07100000000000001,0.128,0.11975000000000001,0.147,0.119,0.07500000000000001,0.05025,0.11275,0.16575,0.31225,0.1815,0.0037500000000000033,0.13274999999999998,0.26949999999999996,0.4285
,,,,,0.97,0.876,0.68725,0.6194999999999999,0.5495,0.6412499999999999,0.9259999999999999,1.2389999999999999,1.52025,1.715,1.95425,2.06675,2.36475,2.84875,3.01125
0.46475,0.7969999999999999,0.606,0.5529999999999999,0.69825,1.24625,2.28425,2.2809999999999997,2.8425000000000002,1.678,1.5717500000000002,1.7920000000000003,2.02075,1.40375,1.5720000000000003,0.7837500000000002,-0.15125,0.15950000000000003,0.5992500000000001,1.02575
0.33625,0.33925000000000005,0.36675,0.40375,0.43,0.5115000000000001,0.5815,0.63925,0.7444999999999999,0.66325,0.72225,0.8235000000000001,0.9570000000000001,1.1179999999999999,1.20625,1.268,1.36525,1.4625000000000001,1.6675,1.916
,,,,,,,,,,,,,-0.01,0.18825,0.20074999999999998,0.20525,0.22649999999999998,0.14150000000000001,0.147
0.41800000000000004,0.39699999999999996,0.30600000000000005,0.3575,0.383,0.41174999999999995,0.4325000000000001,0.45625,0.52825,0.5277499999999999,0.5922499999999999,0.62075,0.58075,0.62125,0.6697500000000001,0.574,0.65325,0.7515000000000001,0.66525,0.5922499999999999
,,,,,,,,,,,,0.131,0.3495,0.6785,0.98625,1.01875,0.9882500000000001,0.8345,1.06075
0.02266666666666667,0.02875,0.0385,0.0385,0.045000000000000005,0.0615,0.0765,0.08800000000000001,0.108,0.11399999999999999,0.11199999999999999,0.13799999999999998,0.17,0.20450000000000002,0.2015,0.20900000000000002,0.24425000000000002,0.3085,0.40800000000000003,0.5435
,,,,,0.003,0.009500000000000001,0.012,0.026,0.044,0.0625,0.07175000000000001,0.07950000000000002,0.0905,0.0805,0.12025000000000001,0.17275000000000001,0.22775,0.319,0.495
0.1295,0.12175,0.06899999999999999,0.138,0.17525000000000002,0.22275,0.25375000000000003,0.3185,0.37325,0.3045,0.36324999999999996,0.37324999999999997,0.437,0.48624999999999996,0.49224999999999997,0.5325,0.5635,0.5842499999999999,0.6325000000000001,0.757
0.10833333333333334,0.096,0.107,0.1095,0.10175000000000001,0.115,0.16,0.2165,0.27349999999999997,0.2965,0.2745,0.41400000000000003,0.469,0.463,0.4907500000000001,0.5325,0.49424999999999997,0.5195000000000001,0.73325,1.0535
0.28550000000000003,0.32575,0.33799999999999997,0.36124999999999996,0.3915,0.437,0.49025,0.526,0.5429999999999999,0.47700000000000004,0.36075,0.38899999999999996,0.51775,0.632,0.69,0.7875000000000001,0.9670000000000001,1.10525,1.3802499999999998,1.786
0.4485,0.44349999999999995,0.48275,0.5523333333333333,0.5922499999999999,0.5862499999999999,0.5920000000000001,0.6637500000000001,0.7595,0.80875,0.816,0.7582500000000001,0.56925,0.6525000000000001,0.661,0.6367499999999999,0.6044999999999999,0.5647499999999999,0.3385,0.3055
0.00775,0.01225,0.013750000000000002,0.02225,0.036750000000000005,0.06025,0.0895,0.1355,0.195,0.2065,0.261,0.3545,0.4545,0.5375000000000001,0.63325,0.72525,0.8585,0.9292499999999999,1.10775,1.13825
,,,,,,,,,,,,,,,,,,,-0.01
0.1995,0.184,0.20025,0.139,0.20325000000000001,0.24824999999999997,0.30474999999999997,0.3805,0.41825,0.4435,0.47625000000000006,0.5982500000000001,0.7045,0.8105,0.8207500000000001,0.93875,1.1444999999999999,1.28925,1.23525,1.5545
0.2245,0.2555,0.22774999999999998,0.242,0.2705,0.33525,0.35650000000000004,0.4675,0.60425,0.68125,0.71675,0.7264999999999999,0.823,0.97325,1.0915,1.3042500000000001,1.50375,1.53625,1.5892499999999998,1.739
0.579,0.8029999999999999,0.6965,0.62775,0.71025,1.2832500000000002,1.8297500000000002,1.89025,2.627,1.8572500000000003,2.0562500000000004,2.73475,3.246,3.1005000000000003,2.8605,1.64075,0.78,1.15575,1.53325,1.9962499999999999
