firm_id,eps_fc,eps_act,eod_act,eps_fc_terms
335,0.29779761904761903,0.17496987951807216,29.31160481927712,0.3801
336,0.7903448275862068,0.6383783783783783,51.70625,0.9124615384615383
337,0.551442857142857,0.4467892531746665,43.22703389830507,0.6135151515151513
338,1.0292738095238096,1.175446204819277,71.67388674698795,1.0845374999999997
339,0.4681147540983607,0.1499749637598795,37.05222891566266,0.5786140350877194
340,0.1644507042253521,0.1508112245202,64.09155714285714,0.18772463768115946
341,0.35199999999999987,0.2677711807228915,12.333659036144576,0.37876
342,0.2522142857142857,0.26147799402261906,27.036966265060244,0.26254999999999995
343,0.523108108108108,0.09003569767441862,36.703714285714305,0.5869411764705883
344,1.6824457831325297,1.7566156269337354,102.75460240963855,1.7690375000000003
345,0.5229880952380952,0.22800107227192787,35.39911807228915,0.5911625
346,0.37521311475409846,-0.10740054275957144,24.987539682539683,0.4087241379310345
347,1.0002499999999999,1.199036144578313,65.08647590361446,1.1420000000000003
348,0.3668571428571428,0.2606991666372619,35.63924939759038,0.3836875
349,0.8183214285714286,0.812337349048193,61.33173253012048,0.8677374999999999
350,0.5881309523809526,0.6355767628292686,38.362614457831334,0.7558750000000001
351,0.28917283950617284,0.2968518517978025,38.77096265060241,0.2925375
352,17.06641025641026,18.47783132530121,1403.3748936170216,18.429279411764707
353,0.4135833333333334,0.04879518095301207,17.0175,0.4776250000000003
354,0.08383333333333332,-0.06548387096774193,14.560576923076926,0.09575999999999998
355,0.08383333333333332,-0.06548387096774193,14.406923076923077,0.09575999999999998
356,0.28029310344827585,0.2591741321325301,33.292651807228914,0.29523636363636363
357,0.354843373493976,0.3624390244196341,27.986854216867474,0.3857142857142858
358,0.7672500000000001,0.7760240963807229,52.04577108433734,0.8554794520547945
359,0.39267857142857143,0.32842261940845235,43.775999999999996,0.40969999999999995
360,1.211024096385542,1.2187710000684342,99.7813253012048,1.3055999999999994
361,0.8978313253012042,0.7837195121951221,54.033056626506024,1.025594936708861
362,0.3466666666666666,0.35558201058154754,40.5434843373494,0.3595499999999999
363,0.15275000000000008,0.14924587234566272,12.982803614457833,0.16688461538461544
364,0.6902738095238097,0.6917662065670732,40.314272289156634,0.7301315789473682
365,0.6442530120481926,0.5611099034566264,33.55146265060241,0.6729054054054051
366,0.8617142857142855,0.8686439881963859,118.875,0.930175
367,0.49744047619047604,0.4017670683313252,29.943353012048192,0.5321012658227848
368,0.8713835616438355,0.790602640064,56.55375,0.9106056338028166
369,0.7703452380952379,0.7679960476190476,64.44263734939757,0.7924125000000004
370,0.4307380952380952,0.44572110095779516,25.412493975903615,0.41545000000000004
371,1.1556190476190475,1.2090825873325002,77.62335060240964,1.1924375000000005
372,0.3391547619047618,0.1935464578313253,18.306393975903614,0.4306052631578947
373,0.8145254237288136,0.6688182196842682,42.289778481012654,0.8948392857142855
374,0.4264285714285716,0.3139156626506024,34.71488072289157,0.48626666666666657
375,0.21757894736842107,0.18437217647058818,40.071114457831314,0.24715094339622642
376,1.1135,1.0770588235294116,76.9495744680851,1.1866956521739132
377,1.4061309523809522,1.4838414562289162,72.99246987951805,1.4761250000000001
378,0.5371190476190476,0.38518072274819287,27.08055000000001,0.640227848101266
379,0.8326666666666666,0.7918072289156625,50.813554216867445,0.8959740259740258
380,0.8052857142857142,0.8275929223048194,55.033722891566256,0.8825822784810123
381,0.5169999999999999,0.4982590360722892,27.266679518072294,0.5509358974358975
382,0.6785542168674696,-0.05127496316614631,107.43499999999997,0.8005625000000001
